,count,mean,median,std,min,25%,50%,75%,max
Area,19685.0,49092.46418171196,9317.0,68866.64840848457,0.5,1390.0,9317.0,75112.0,185695.0
Production,19685.0,80751.975996952,13810.0,115634.93468710454,0.0,1395.0,13810.0,122764.0,304817.5
Annual_Rainfall,19685.0,1371.2231327333907,1247.6,614.7249822142637,301.3,940.7,1247.6,1643.7,2698.2
Fertilizer,19685.0,6528790.566333281,1234957.44,9148763.147968281,54.17,188014.62,1234957.44,10003847.2,24727596.07
Pesticide,19685.0,13013.146053003302,2421.9,18327.964832777237,0.09,356.7,2421.9,20041.7,49569.2
Yield,19685.0,1.7843016459316487,1.030416667,1.6523385462984475,0.0,0.6,1.030416667,2.389130435,5.0728260875
