Column,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count
Crop_Year,2004.0,2015.0,11.0,1987.5,2031.5,0
Area,1390.0,75112.0,73722.0,-109193.0,185695.0,3076
Production,1393.0,122718.0,121325.0,-180594.5,304705.5,3373
Annual_Rainfall,940.7,1643.7,703.0,-113.79999999999995,2698.2,1527
Fertilizer,188014.62,10003847.2,9815832.58,-14535734.250000002,24727596.07,3093
Pesticide,356.7,20041.7,19685.0,-29170.8,49569.2,3036
Yield,0.6,2.388888889,1.7888888889999999,-2.0833333334999997,5.0722222225,3065
