Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Tobacco,2012,Kharif,Jammu and Kashmir,1.0,0.0,1116.7,150.8,0.31,0.4
Tobacco,2014,Kharif,Jammu and Kashmir,1.0,0.0,1278.4,150.96,0.33,0.4
Horse-gram,2016,Rabi,Jammu and Kashmir,1.0,0.0,902.8,153.25,0.35,0.4
Masoor,2004,Kharif,Mizoram,0.5,0.0,2640.8,54.17,0.105,0.4
