State,Total_Production,Production_Share_%
Karnataka,161809940.0,10.179269659275024
Andhra Pradesh,151115250.0,9.506479511572403
Madhya Pradesh,132633341.0,8.343804736900452
Gujarat,132591834.0,8.341193581209104
Uttar Pradesh,117912487.5,7.417733462223615
Maharashtra,115166228.5,7.244969595459862
Bihar,90736897.5,5.708149621083215
Tamil Nadu,89610039.0,5.637260301555958
West Bengal,88225831.5,5.550181464453053
Assam,68823474.0,4.329602376307064
