Season,count,mean,median,std,min,max
Whole Year,3715,3.124825348857066,4.2975,2.046386215225572,0.0,5.0728260875
Summer,1195,1.9262998316937239,1.67375,1.3689571898433086,0.0,5.0728260875
Winter,389,1.9006216203007713,1.545333333,1.6532033059950324,0.113,5.0728260875
Kharif,8231,1.4276943045060138,0.924285714,1.3867887778556367,0.0,5.0728260875
Rabi,5741,1.4198785510573941,0.902727273,1.3216472572939113,0.0,5.0728260875
Autumn,414,1.3794855989855073,1.091677019,1.0486659008533123,0.156875,5.0728260875
