,count,mean,std,min,25%,50%,75%,max,range,IQR,skewness,coefficient_of_variation_%
Area,19685.0,49092.46418171196,68866.64840848457,0.5,1390.0,9317.0,75112.0,185695.0,185694.5,73722.0,1.210282409834682,140.27946968312693
Production,19685.0,80751.975996952,115634.93468710454,0.0,1395.0,13810.0,122764.0,304817.5,304817.5,121369.0,1.201736369435882,143.1976533818432
Annual_Rainfall,19685.0,1371.2231327333907,614.7249822142637,301.3,940.7,1247.6,1643.7,2698.2,2396.8999999999996,703.0,0.7650824702229817,44.83041217288053
Fertilizer,19685.0,6528790.566333281,9148763.147968281,54.17,188014.62,1234957.44,10003847.2,24727596.07,24727541.9,9815832.58,1.2152550025932662,140.12952406752476
Pesticide,19685.0,13013.146053003302,18327.964832777237,0.09,356.7,2421.9,20041.7,49569.2,49569.11,19685.0,1.2213457155185246,140.8419206095618
Yield,19685.0,1.7843016459316487,1.6523385462984475,0.0,0.6,1.030416667,2.389130435,5.0728260875,5.0728260875,1.7891304350000001,1.1345804786655462,92.60421577629053
