Crop,Total_Production,Production_Share_%
Rice,246029456.5,15.477418642132704
Maize,146299345.0,9.203516692054327
Sugarcane,118324232.5,7.443635847366692
Wheat,88440026.5,5.5636562155386065
Potato,75686141.5,4.761324574983132
Groundnut,67206685.5,4.227892146864331
Jowar,60885371.0,3.8302258174868826
Onion,58693695.0,3.692350103487104
Cotton(lint),57162588.0,3.596029994659404
Bajra,51627448.5,3.2478209935794666
