State,count
Haryana,27
Chhattisgarh,22
Kerala,21
Andhra Pradesh,13
Tamil Nadu,10
Telangana,5
Jammu and Kashmir,3
Madhya Pradesh,3
Puducherry,2
Karnataka,2
