State,count
Karnataka,1432
Andhra Pradesh,1266
West Bengal,1092
Chhattisgarh,915
Bihar,896
Madhya Pradesh,845
Uttar Pradesh,825
Tamil Nadu,820
Gujarat,817
Maharashtra,770
