Crop,Production
Rice,246029456.5
Maize,146299345.0
Sugarcane,118324232.5
Wheat,88440026.5
Potato,75686141.5
Groundnut,67206685.5
Jowar,60885371.0
Onion,58693695.0
Cotton(lint),57162588.0
Bajra,51627448.5
