State,Production
Karnataka,161809940.0
Andhra Pradesh,151115250.0
Madhya Pradesh,132633341.0
Gujarat,132591834.0
Uttar Pradesh,117912487.5
Maharashtra,115166228.5
Bihar,90736897.5
Tamil Nadu,89610039.0
West Bengal,88225831.5
Assam,68823474.0
