,P01,P05,P25,P50_Median,P75,P95,P99
Area,3.0,42.0,1390.0,9317.0,75112.0,185695.0,185695.0
Production,2.0,30.0,1395.0,13810.0,122764.0,304817.5,304817.5
Annual_Rainfall,345.6,533.2,940.7,1247.6,1643.7,2698.2,2698.2
Fertilizer,400.2,5443.974000000003,188014.62,1234957.44,10003847.2,24727596.07,24727596.07
Pesticide,0.72,10.56,356.7,2421.9,20041.7,49569.2,49569.2
Yield,0.08355000000000001,0.25,0.6,1.030416667,2.389130435,5.0728260875,5.0728260875
